                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.97846,                 1.1262,                  1.188,                0.74662,                0.62731,                   0.83,                0.50156,                 1.5587,                 1.5196,                 1.3578,               0.002377,               0.002377,               0.002377
                     79,                0.99575,                 1.0075,                0.94398,                0.88579,                 0.6262,                   0.83,                0.48832,                 1.5118,                 1.5114,                 1.3495,               0.002278,               0.002278,               0.002278
                     80,                 1.0674,                0.95401,                 1.0745,                0.88579,                 0.6262,                   0.83,                0.48832,                 1.5118,                 1.5114,                 1.3495,               0.002179,               0.002179,               0.002179
                     81,                0.77492,                0.85453,                0.94801,                0.92397,                0.62684,                   0.83,                0.50433,                 1.5036,                 1.5405,                 1.3638,                0.00208,                0.00208,                0.00208
                     82,                0.76911,                0.93496,                0.99407,                0.78119,                0.81603,                 0.9125,                0.53898,                  1.509,                 1.5222,                 1.3586,               0.001981,               0.001981,               0.001981
                     83,                0.98134,                  1.052,                0.99265,                0.78517,                0.82372,                 0.9125,                0.56386,                 1.4993,                 1.4759,                 1.3486,               0.001882,               0.001882,               0.001882
                     84,                0.96768,                0.91396,                0.93146,                0.78517,                0.82372,                 0.9125,                0.56386,                 1.4993,                 1.4759,                 1.3486,               0.001783,               0.001783,               0.001783
                     85,                0.80869,                0.97617,                0.99944,                0.77992,                0.81829,                 0.9125,                0.56059,                 1.4944,                 1.4372,                 1.3348,               0.001684,               0.001684,               0.001684
                     86,                0.81678,                0.85417,                0.96401,                0.77939,                0.81523,                  0.874,                0.51254,                 1.4248,                 1.3916,                 1.2992,               0.001585,               0.001585,               0.001585
                     87,                 0.8346,                0.97736,                  0.974,                0.78086,                0.81651,                0.83688,                0.50607,                 1.3899,                 1.3518,                 1.3074,               0.001486,               0.001486,               0.001486
